<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
AUDCHF,D,20190502,000000,0.7135800,0.7165000,0.7113400,0.7128700
AUDCHF,D,20190503,000000,0.7128900,0.7148900,0.7114000,0.7129800
AUDCHF,D,20190504,000000,0.7135400,0.7135400,0.7128000,0.7129800
AUDCHF,D,20190505,000000,0.7109000,0.7111800,0.7064000,0.7088000
AUDCHF,D,20190506,000000,0.7087700,0.7128100,0.7065000,0.7113700
AUDCHF,D,20190507,000000,0.7113700,0.7166400,0.7093100,0.7145600
AUDCHF,D,20190508,000000,0.7146000,0.7161100,0.7108000,0.7133800
AUDCHF,D,20190509,000000,0.7133800,0.7136100,0.7052000,0.7095400
AUDCHF,D,20190510,000000,0.7095300,0.7128900,0.7058000,0.7077900
AUDCHF,D,20190511,000000,0.7077200,0.7077900,0.7072000,0.7077900
AUDCHF,D,20190512,000000,0.7086800,0.7086800,0.7042200,0.7056800
AUDCHF,D,20190513,000000,0.7056900,0.7062400,0.6968000,0.6981900
AUDCHF,D,20190514,000000,0.6982300,0.7014900,0.6976000,0.6998500
AUDCHF,D,20190515,000000,0.6998500,0.6998800,0.6954000,0.6982500
AUDCHF,D,20190516,000000,0.6981500,0.6993400,0.6946600,0.6961000
AUDCHF,D,20190517,000000,0.6960700,0.6966600,0.6927000,0.6934500
AUDCHF,D,20190518,000000,0.6937400,0.6937400,0.6927000,0.6934500
AUDCHF,D,20190519,000000,0.6934600,0.7016000,0.6934600,0.6975800
AUDCHF,D,20190520,000000,0.6975500,0.7008400,0.6953000,0.6979800
AUDCHF,D,20190521,000000,0.6979400,0.6989500,0.6932000,0.6958400
AUDCHF,D,20190522,000000,0.6958400,0.6966800,0.6925000,0.6939400
AUDCHF,D,20190523,000000,0.6939400,0.6941800,0.6901000,0.6918800
AUDCHF,D,20190524,000000,0.6918700,0.6945200,0.6895000,0.6933000
AUDCHF,D,20190525,000000,0.6933000,0.6937500,0.6930100,0.6933000
AUDCHF,D,20190526,000000,0.6924000,0.6948800,0.6924000,0.6942800
AUDCHF,D,20190527,000000,0.6943500,0.6967900,0.6932000,0.6948400
AUDCHF,D,20190528,000000,0.6947900,0.6994700,0.6934000,0.6974100
AUDCHF,D,20190529,000000,0.6974100,0.6979400,0.6940000,0.6975600
AUDCHF,D,20190530,000000,0.6976200,0.6999900,0.6945000,0.6953000
AUDCHF,D,20190531,000000,0.6952900,0.6971900,0.6924100,0.6933800
AUDCHF,D,20190601,000000,0.6936200,0.6941300,0.6932500,0.6933800
AUDCHF,D,20190602,000000,0.6944900,0.6954300,0.6918000,0.6925800
AUDCHF,D,20190603,000000,0.6926200,0.6960800,0.6904000,0.6918200
AUDCHF,D,20190604,000000,0.6917600,0.6949800,0.6902000,0.6936700
AUDCHF,D,20190605,000000,0.6939200,0.6951300,0.6890000,0.6928600
AUDCHF,D,20190606,000000,0.6929200,0.6947100,0.6893000,0.6913500
AUDCHF,D,20190607,000000,0.6914100,0.6932900,0.6894000,0.6905800
AUDCHF,D,20190609,000000,0.6894000,0.6940000,0.6884000,0.6925500
AUDCHF,D,20190610,000000,0.6925500,0.6927500,0.6869900,0.6886000
AUDCHF,D,20190611,000000,0.6886300,0.6911700,0.6870000,0.6907400
AUDCHF,D,20190612,000000,0.6908400,0.6913400,0.6873000,0.6894500
AUDCHF,D,20190613,000000,0.6897600,0.6906200,0.6843000,0.6869600
AUDCHF,D,20190614,000000,0.6872200,0.6876000,0.6838000,0.6855400
AUDCHF,D,20190615,000000,0.6860100,0.6860700,0.6852000,0.6860200
AUDCHF,D,20190616,000000,0.6851500,0.6864000,0.6849700,0.6862000
AUDCHF,D,20190617,000000,0.6858500,0.6879000,0.6833000,0.6845600
AUDCHF,D,20190618,000000,0.6846700,0.6881000,0.6803000,0.6876300
AUDCHF,D,20190619,000000,0.6876900,0.6892400,0.6823000,0.6837200
AUDCHF,D,20190620,000000,0.6838300,0.6842200,0.6764000,0.6789000
AUDCHF,D,20190621,000000,0.6794800,0.6811500,0.6742500,0.6758400
AUDCHF,D,20190622,000000,0.6756400,0.6761500,0.6752000,0.6752500
AUDCHF,D,20190623,000000,0.6757000,0.6768600,0.6749000,0.6766000
AUDCHF,D,20190624,000000,0.6763900,0.6803700,0.6750000,0.6764700
AUDCHF,D,20190625,000000,0.6767000,0.6812700,0.6741000,0.6786300
AUDCHF,D,20190626,000000,0.6790000,0.6834000,0.6766400,0.6830700
AUDCHF,D,20190627,000000,0.6828600,0.6863800,0.6818000,0.6843000
AUDCHF,D,20190628,000000,0.6844200,0.6857500,0.6818000,0.6849600
AUDCHF,D,20190629,000000,0.6848700,0.6854300,0.6843700,0.6850700
AUDCHF,D,20190630,000000,0.6848800,0.6889600,0.6848800,0.6880000
AUDCHF,D,20190701,000000,0.6879700,0.6889700,0.6850000,0.6878500
AUDCHF,D,20190702,000000,0.6877200,0.6920500,0.6860600,0.6896800
AUDCHF,D,20190703,000000,0.6898200,0.6946600,0.6863000,0.6932500
AUDCHF,D,20190704,000000,0.6932500,0.6947100,0.6902000,0.6908600
AUDCHF,D,20190705,000000,0.6908600,0.6939600,0.6897000,0.6913700
AUDCHF,D,20190706,000000,0.6913600,0.6917600,0.6913000,0.6916600
AUDCHF,D,20190707,000000,0.6903000,0.6919000,0.6903000,0.6917000
AUDCHF,D,20190708,000000,0.6919700,0.6944000,0.6905000,0.6927300
AUDCHF,D,20190709,000000,0.6929200,0.6934900,0.6864000,0.6883000
AUDCHF,D,20190710,000000,0.6882800,0.6898400,0.6848000,0.6885000
AUDCHF,D,20190711,000000,0.6885800,0.6910400,0.6858000,0.6901400
AUDCHF,D,20190712,000000,0.6904500,0.6926700,0.6874000,0.6904500
AUDCHF,D,20190713,000000,0.6904400,0.6904800,0.6899300,0.6899600
AUDCHF,D,20190715,000000,0.6912400,0.6933300,0.6894000,0.6928900
AUDCHF,D,20190716,000000,0.6928200,0.6947700,0.6908000,0.6925100
AUDCHF,D,20190717,000000,0.6927000,0.6944600,0.6908000,0.6919600
AUDCHF,D,20190718,000000,0.6920900,0.6954600,0.6898000,0.6942800
AUDCHF,D,20190719,000000,0.6943400,0.6955400,0.6897100,0.6903700
AUDCHF,D,20190720,000000,0.6903200,0.6913800,0.6903200,0.6907200
AUDCHF,D,20190721,000000,0.6915000,0.6925200,0.6896800,0.6917000
AUDCHF,D,20190722,000000,0.6919700,0.6930700,0.6896000,0.6907200
AUDCHF,D,20190723,000000,0.6908700,0.6921800,0.6878000,0.6900000
AUDCHF,D,20190724,000000,0.6900700,0.6903300,0.6862000,0.6870100
AUDCHF,D,20190725,000000,0.6870100,0.6904800,0.6853000,0.6884300
AUDCHF,D,20190726,000000,0.6884300,0.6891200,0.6846900,0.6855400
AUDCHF,D,20190727,000000,0.6858500,0.6866200,0.6854000,0.6861600
AUDCHF,D,20190728,000000,0.6859500,0.6867200,0.6840900,0.6859100
AUDCHF,D,20190729,000000,0.6859200,0.6863900,0.6832000,0.6841100
AUDCHF,D,20190730,000000,0.6841400,0.6848400,0.6794400,0.6805600
AUDCHF,D,20190731,000000,0.6806200,0.6838300,0.6785000,0.6803900
AUDCHF,D,20190801,000000,0.6804500,0.6835800,0.6715900,0.6733200
AUDCHF,D,20190802,000000,0.6733000,0.6740800,0.6653800,0.6675000
AUDCHF,D,20190804,000000,0.6661000,0.6689100,0.6661000,0.6672300
AUDCHF,D,20190805,000000,0.6672000,0.6673800,0.6551000,0.6563200
AUDCHF,D,20190806,000000,0.6563500,0.6644800,0.6556000,0.6598600
AUDCHF,D,20190807,000000,0.6598700,0.6613700,0.6504000,0.6587500
AUDCHF,D,20190808,000000,0.6587800,0.6661700,0.6574000,0.6633700
AUDCHF,D,20190809,000000,0.6633800,0.6642800,0.6585000,0.6590000
AUDCHF,D,20190811,000000,0.6574000,0.6604800,0.6574000,0.6582800
AUDCHF,D,20190812,000000,0.6583900,0.6609400,0.6530000,0.6547400
AUDCHF,D,20190813,000000,0.6547700,0.6658500,0.6516000,0.6634400
AUDCHF,D,20190814,000000,0.6633500,0.6645400,0.6537000,0.6575100
AUDCHF,D,20190815,000000,0.6575000,0.6634400,0.6566000,0.6612700
AUDCHF,D,20190816,000000,0.6612800,0.6655400,0.6603000,0.6625700
AUDCHF,D,20190818,000000,0.6604000,0.6658000,0.6604000,0.6645500
AUDCHF,D,20190819,000000,0.6645500,0.6655300,0.6609000,0.6629100
AUDCHF,D,20190820,000000,0.6629100,0.6662200,0.6617000,0.6624700
AUDCHF,D,20190821,000000,0.6624600,0.6669600,0.6616000,0.6662600
AUDCHF,D,20190822,000000,0.6661900,0.6665300,0.6629000,0.6645300
AUDCHF,D,20190823,000000,0.6644300,0.6674400,0.6563800,0.6575400
AUDCHF,D,20190825,000000,0.6552000,0.6560000,0.6494000,0.6523600
AUDCHF,D,20190826,000000,0.6524200,0.6650200,0.6518000,0.6627700
AUDCHF,D,20190827,000000,0.6627600,0.6649200,0.6589000,0.6625700
AUDCHF,D,20190828,000000,0.6626900,0.6638300,0.6599000,0.6612300
AUDCHF,D,20190829,000000,0.6614300,0.6645700,0.6579000,0.6638800
AUDCHF,D,20190830,000000,0.6640900,0.6671000,0.6612000,0.6665200
AUDCHF,D,20190901,000000,0.6649100,0.6666300,0.6634000,0.6654500
AUDCHF,D,20190902,000000,0.6654400,0.6674600,0.6635200,0.6646100
AUDCHF,D,20190903,000000,0.6648000,0.6678400,0.6628000,0.6674000
AUDCHF,D,20190904,000000,0.6673700,0.6704200,0.6649100,0.6665400
AUDCHF,D,20190905,000000,0.6666300,0.6732700,0.6659000,0.6717000
AUDCHF,D,20190906,000000,0.6715300,0.6779800,0.6707000,0.6754600
AUDCHF,D,20190908,000000,0.6748000,0.6770000,0.6742200,0.6766100
AUDCHF,D,20190909,000000,0.6766100,0.6813400,0.6753000,0.6811500
AUDCHF,D,20190910,000000,0.6811800,0.6820100,0.6774000,0.6798000
AUDCHF,D,20190911,000000,0.6800200,0.6833200,0.6785000,0.6831600
AUDCHF,D,20190912,000000,0.6831400,0.6845300,0.6785000,0.6797400
AUDCHF,D,20190913,000000,0.6798300,0.6823500,0.6767000,0.6804600
AUDCHF,D,20190915,000000,0.6782000,0.6797300,0.6767100,0.6787700
AUDCHF,D,20190916,000000,0.6787700,0.6821900,0.6768000,0.6812900
AUDCHF,D,20190917,000000,0.6812900,0.6821700,0.6767000,0.6815400
AUDCHF,D,20190918,000000,0.6815400,0.6825900,0.6785000,0.6803000
AUDCHF,D,20190919,000000,0.6803000,0.6808200,0.6718000,0.6742300
AUDCHF,D,20190920,000000,0.6742400,0.6749200,0.6690000,0.6701200
AUDCHF,D,20190922,000000,0.6696700,0.6716000,0.6694000,0.6710000
AUDCHF,D,20190923,000000,0.6709700,0.6721400,0.6687000,0.6703400
AUDCHF,D,20190924,000000,0.6703300,0.6736100,0.6685000,0.6703100
AUDCHF,D,20190925,000000,0.6699300,0.6716400,0.6650000,0.6694800
AUDCHF,D,20190926,000000,0.6694400,0.6733200,0.6680000,0.6707900
AUDCHF,D,20190927,000000,0.6708100,0.6733500,0.6684000,0.6697900
AUDCHF,D,20190929,000000,0.6691000,0.6705800,0.6684000,0.6700600
AUDCHF,D,20190930,000000,0.6700400,0.6743700,0.6679000,0.6734100
AUDCHF,D,20191001,000000,0.6733000,0.6769500,0.6643000,0.6659600
AUDCHF,D,20191002,000000,0.6659100,0.6700400,0.6649000,0.6685100
AUDCHF,D,20191003,000000,0.6685700,0.6740500,0.6675000,0.6731700
AUDCHF,D,20191004,000000,0.6731700,0.6760600,0.6702700,0.6734900
AUDCHF,D,20191006,000000,0.6715000,0.6732800,0.6699000,0.6722100
AUDCHF,D,20191007,000000,0.6722300,0.6727800,0.6684000,0.6696800
AUDCHF,D,20191008,000000,0.6697300,0.6718800,0.6663900,0.6677400
AUDCHF,D,20191009,000000,0.6678000,0.6714800,0.6652000,0.6672900
AUDCHF,D,20191010,000000,0.6673100,0.6746200,0.6664000,0.6736300
AUDCHF,D,20191011,000000,0.6736000,0.6791900,0.6726000,0.6761200
AUDCHF,D,20191013,000000,0.6748000,0.6784700,0.6748000,0.6784500
AUDCHF,D,20191014,000000,0.6784600,0.6785900,0.6710000,0.6759100
AUDCHF,D,20191015,000000,0.6759600,0.6770700,0.6726000,0.6742000
AUDCHF,D,20191016,000000,0.6743200,0.6744800,0.6691000,0.6717900
