<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
18/03/20;00:00;48.4000000;48.8000000;42.3000000;44.0000000;116220
19/03/20;00:00;44.9000000;51.0000000;43.4000000;49.9000000;118560
20/03/20;00:00;50.0000000;53.5000000;49.1000000;51.2000000;113240
23/03/20;00:00;50.1000000;53.0000000;48.0000000;51.5000000;33800
24/03/20;00:00;52.8000000;53.8000000;51.9000000;52.8000000;22870
25/03/20;00:00;53.1000000;56.8000000;52.5000000;55.5000000;90930
26/03/20;00:00;54.2000000;56.7000000;52.6000000;56.6000000;45030
27/03/20;00:00;56.6000000;56.6000000;53.6000000;53.8000000;18770
30/03/20;00:00;53.9000000;54.6000000;49.5000000;51.1000000;650920
31/03/20;00:00;51.1000000;52.8000000;49.9000000;51.7000000;339620
01/04/20;00:00;51.2000000;51.9000000;50.5000000;51.0000000;76290
02/04/20;00:00;51.5000000;52.5000000;50.3000000;50.9000000;217910
03/04/20;00:00;50.4000000;53.9000000;50.2000000;53.6000000;221780
06/04/20;00:00;53.9000000;55.9000000;51.5000000;54.4000000;137930
07/04/20;00:00;54.6000000;56.0000000;54.4000000;54.8000000;144420
08/04/20;00:00;54.6000000;54.8000000;53.0000000;53.7000000;139680
09/04/20;00:00;55.6000000;55.6000000;53.3000000;54.1000000;90850
10/04/20;00:00;54.5000000;54.8000000;53.5000000;54.1000000;48010
13/04/20;00:00;54.5000000;54.5000000;53.5000000;54.2000000;33530
14/04/20;00:00;54.5000000;54.9000000;54.0000000;54.1000000;27370
15/04/20;00:00;54.1000000;54.8000000;51.5000000;52.0000000;76170
16/04/20;00:00;51.7000000;53.4000000;51.6000000;53.1000000;35110
17/04/20;00:00;52.8000000;53.8000000;52.8000000;53.0000000;19190
20/04/20;00:00;52.8000000;53.7000000;52.5000000;52.6000000;24620
21/04/20;00:00;53.4000000;53.8000000;51.1000000;51.5000000;35830
22/04/20;00:00;51.6000000;53.0000000;51.4000000;52.9000000;50260
23/04/20;00:00;53.0000000;54.0000000;53.0000000;54.0000000;67140
24/04/20;00:00;54.3000000;56.6000000;53.2000000;54.9000000;125300
27/04/20;00:00;54.3000000;56.0000000;53.9000000;55.2000000;42510
28/04/20;00:00;55.2000000;56.7000000;54.3000000;55.8000000;140480
29/04/20;00:00;55.9000000;56.1000000;55.0000000;55.5000000;22360
30/04/20;00:00;55.7000000;56.1000000;54.8000000;55.5000000;28990
04/05/20;00:00;56.1000000;56.1000000;54.8000000;55.1000000;17000
05/05/20;00:00;55.4000000;56.5000000;55.1000000;56.0000000;25030
06/05/20;00:00;56.5000000;56.8000000;55.5000000;55.6000000;32760
07/05/20;00:00;56.0000000;56.7000000;55.3000000;55.3000000;19500
08/05/20;00:00;55.7000000;56.2000000;55.1000000;56.0000000;15370
12/05/20;00:00;56.9000000;57.5000000;54.9000000;55.5000000;44260
13/05/20;00:00;55.2000000;55.6000000;53.4000000;54.3000000;78600
14/05/20;00:00;54.0000000;54.9000000;53.1000000;54.2000000;31990
15/05/20;00:00;54.4000000;54.8000000;54.0000000;54.3000000;13800
18/05/20;00:00;54.2000000;55.7000000;54.0000000;55.2000000;11060
19/05/20;00:00;54.8000000;55.7000000;54.6000000;54.7000000;17110
20/05/20;00:00;55.0000000;55.3000000;54.5000000;55.2000000;24910
21/05/20;00:00;55.2000000;55.8000000;53.6000000;55.4000000;43930
22/05/20;00:00;55.4000000;55.5000000;54.2000000;55.0000000;9890
25/05/20;00:00;55.3000000;55.6000000;54.8000000;55.2000000;15070
26/05/20;00:00;54.9000000;56.0000000;54.7000000;55.6000000;23330
27/05/20;00:00;55.5000000;56.2000000;55.1000000;55.3000000;29360
28/05/20;00:00;55.2000000;56.2000000;55.2000000;55.5000000;30310
29/05/20;00:00;55.9000000;56.2000000;55.4000000;55.9000000;21840
01/06/20;00:00;55.6000000;56.9000000;55.4000000;56.0000000;25010
02/06/20;00:00;56.5000000;65.0000000;55.4000000;60.6000000;260350
03/06/20;00:00;61.5000000;62.0000000;58.5000000;59.4000000;88770
04/06/20;00:00;59.3000000;59.7000000;57.2000000;58.3000000;56180
05/06/20;00:00;58.3000000;61.0000000;57.5000000;60.0000000;91620
08/06/20;00:00;60.4000000;60.6000000;58.5000000;59.4000000;94430
09/06/20;00:00;58.5000000;59.5000000;56.0000000;58.0000000;30270
10/06/20;00:00;58.4000000;59.3000000;57.3000000;58.8000000;42840
11/06/20;00:00;59.2000000;59.8000000;57.2000000;57.3000000;36680
15/06/20;00:00;57.4000000;58.6000000;55.9000000;58.6000000;73670
16/06/20;00:00;58.9000000;59.0000000;57.1000000;57.8000000;64580
17/06/20;00:00;57.2000000;57.9000000;57.2000000;57.7000000;21170
18/06/20;00:00;57.7000000;57.8000000;57.1000000;57.3000000;10220
19/06/20;00:00;57.4000000;57.9000000;57.3000000;57.6000000;23340
22/06/20;00:00;58.5000000;58.6000000;57.6000000;58.1000000;32240
23/06/20;00:00;58.6000000;58.6000000;57.3000000;57.4000000;25080
25/06/20;00:00;58.9000000;58.9000000;56.3000000;57.0000000;21890
26/06/20;00:00;57.5000000;57.7000000;56.4000000;57.0000000;13290
29/06/20;00:00;57.3000000;57.8000000;56.3000000;57.0000000;22390
30/06/20;00:00;57.0000000;57.8000000;56.3000000;57.1000000;27200
02/07/20;00:00;56.8000000;58.0000000;56.8000000;57.5000000;26610
03/07/20;00:00;58.3000000;58.3000000;57.0000000;57.1000000;31930
06/07/20;00:00;57.6000000;58.0000000;57.1000000;57.8000000;24450
07/07/20;00:00;59.8000000;59.8000000;54.9000000;57.4000000;25990
08/07/20;00:00;57.4000000;57.4000000;56.5000000;56.8000000;29670
09/07/20;00:00;56.5000000;57.4000000;56.5000000;56.8000000;12610
10/07/20;00:00;57.0000000;57.1000000;55.8000000;56.2000000;25370
13/07/20;00:00;56.2000000;58.8000000;56.2000000;58.7000000;125090
14/07/20;00:00;58.3000000;59.3000000;56.6000000;57.8000000;61820
15/07/20;00:00;58.5000000;58.6000000;56.9000000;57.8000000;50550
16/07/20;00:00;58.5000000;58.6000000;57.3000000;58.1000000;54570
17/07/20;00:00;61.2000000;61.9000000;57.7000000;58.5000000;207590
20/07/20;00:00;58.5000000;59.2000000;57.0000000;58.3000000;90270
21/07/20;00:00;58.6000000;58.7000000;57.8000000;58.2000000;75900
22/07/20;00:00;58.1000000;58.8000000;57.9000000;58.2000000;29210
23/07/20;00:00;58.1000000;58.5000000;57.3000000;58.0000000;44730
24/07/20;00:00;57.6000000;58.1000000;57.2000000;58.1000000;11420
27/07/20;00:00;57.4000000;58.2000000;57.2000000;57.7000000;53450
28/07/20;00:00;57.7000000;58.2000000;57.5000000;57.6000000;23840
29/07/20;00:00;57.7000000;60.6000000;57.5000000;60.0000000;199620
30/07/20;00:00;60.7000000;60.9000000;58.4000000;59.5000000;68630
31/07/20;00:00;59.9000000;60.2000000;57.7000000;57.7000000;103340
03/08/20;00:00;58.4000000;59.0000000;57.6000000;58.2000000;90290
04/08/20;00:00;58.4000000;58.6000000;57.8000000;58.4000000;27490
05/08/20;00:00;58.4000000;59.3000000;58.1000000;58.5000000;68190
06/08/20;00:00;58.5000000;58.8000000;58.0000000;58.6000000;29420
07/08/20;00:00;58.7000000;76.0000000;58.2000000;65.7000000;2073940
10/08/20;00:00;66.5000000;70.7000000;63.3000000;64.9000000;430470
11/08/20;00:00;65.4000000;65.8000000;62.4000000;63.8000000;180980
12/08/20;00:00;65.0000000;66.6000000;64.0000000;65.0000000;161600
13/08/20;00:00;65.0000000;65.8000000;64.3000000;64.8000000;67790
14/08/20;00:00;65.1000000;66.8000000;64.2000000;65.4000000;90490
17/08/20;00:00;65.4000000;66.0000000;63.0000000;64.2000000;126690
18/08/20;00:00;64.0000000;64.0000000;63.1000000;63.5000000;37240
19/08/20;00:00;64.1000000;79.9000000;63.4000000;66.8000000;644720
20/08/20;00:00;66.1000000;66.7000000;64.1000000;64.5000000;150310
21/08/20;00:00;65.2000000;65.7000000;64.2000000;64.4000000;46280
24/08/20;00:00;64.6000000;64.6000000;63.5000000;64.3000000;60240
25/08/20;00:00;64.0000000;64.6000000;63.7000000;63.9000000;38660
26/08/20;00:00;64.3000000;64.3000000;63.1000000;63.3000000;63150
27/08/20;00:00;63.6000000;65.6000000;63.1000000;64.7000000;105280
28/08/20;00:00;65.0000000;65.1000000;63.7000000;63.9000000;15770
31/08/20;00:00;64.4000000;65.9000000;63.6000000;63.8000000;96310
01/09/20;00:00;64.2000000;64.5000000;63.1000000;63.3000000;44140
02/09/20;00:00;63.2000000;64.5000000;61.7000000;62.3000000;87050
03/09/20;00:00;62.3000000;62.6000000;60.6000000;61.2000000;66220
04/09/20;00:00;61.0000000;62.5000000;60.1000000;61.8000000;76490
07/09/20;00:00;61.7000000;63.4000000;61.6000000;63.1000000;51210
08/09/20;00:00;63.2000000;63.4000000;60.6000000;61.6000000;49200
09/09/20;00:00;61.1000000;63.3000000;61.1000000;62.5000000;68810
10/09/20;00:00;63.4000000;63.4000000;62.3000000;62.7000000;19020
11/09/20;00:00;62.4000000;63.0000000;62.0000000;62.6000000;21370
14/09/20;00:00;62.7000000;64.4000000;62.4000000;62.5000000;96050
15/09/20;00:00;62.5000000;63.8000000;62.5000000;62.9000000;23060
16/09/20;00:00;62.9000000;62.9000000;62.4000000;62.7000000;16660
17/09/20;00:00;62.4000000;63.3000000;62.3000000;63.0000000;25200
18/09/20;00:00;63.3000000;63.7000000;62.9000000;63.2000000;27070
21/09/20;00:00;63.0000000;63.6000000;62.0000000;62.0000000;32810
22/09/20;00:00;62.0000000;62.8000000;61.9000000;62.1000000;14760
23/09/20;00:00;62.3000000;62.4000000;60.7000000;61.7000000;49500
