<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
15/11/18;00:00;57.4000000;58.0000000;57.3000000;57.8000000;4000
16/11/18;00:00;57.2000000;58.0000000;53.7000000;57.5000000;35800
19/11/18;00:00;58.0000000;58.0000000;56.5000000;56.9000000;6600
20/11/18;00:00;56.4000000;57.2000000;55.3000000;55.3000000;26200
21/11/18;00:00;55.2000000;55.5000000;54.0000000;54.8000000;20300
22/11/18;00:00;54.8000000;55.7000000;54.5000000;55.0000000;5900
23/11/18;00:00;55.0000000;56.4000000;54.7000000;55.1000000;13100
26/11/18;00:00;55.8000000;56.1000000;54.0000000;55.0000000;11400
27/11/18;00:00;55.0000000;55.0000000;54.2000000;54.8000000;6500
28/11/18;00:00;55.0000000;55.2000000;54.1000000;54.7000000;8900
29/11/18;00:00;54.7000000;55.7000000;54.7000000;54.8000000;28200
30/11/18;00:00;54.6000000;55.0000000;54.3000000;54.9000000;9800
03/12/18;00:00;54.9000000;55.0000000;54.5000000;54.8000000;11700
04/12/18;00:00;54.8000000;55.0000000;54.5000000;54.9000000;8000
05/12/18;00:00;55.0000000;55.0000000;54.5000000;54.9000000;12500
06/12/18;00:00;54.9000000;55.0000000;54.4000000;54.9000000;11700
07/12/18;00:00;54.5000000;54.9000000;54.0000000;54.3000000;16200
10/12/18;00:00;54.0000000;54.8000000;52.0000000;53.6000000;51100
11/12/18;00:00;54.1000000;54.1000000;52.0000000;52.7000000;37400
12/12/18;00:00;53.1000000;53.2000000;51.1000000;51.7000000;16500
13/12/18;00:00;51.8000000;52.8000000;51.4000000;52.5000000;7500
14/12/18;00:00;52.8000000;53.1000000;52.2000000;52.8000000;13500
17/12/18;00:00;53.0000000;53.5000000;50.5000000;51.5000000;33300
18/12/18;00:00;52.0000000;52.0000000;50.9000000;51.5000000;569700
19/12/18;00:00;51.5000000;53.0000000;51.2000000;52.9000000;18900
20/12/18;00:00;53.2000000;53.4000000;51.4000000;53.0000000;17600
21/12/18;00:00;52.3000000;53.2000000;52.3000000;52.4000000;5800
24/12/18;00:00;53.2000000;53.2000000;52.3000000;52.3000000;2700
25/12/18;00:00;52.5000000;52.5000000;50.5000000;51.8000000;516500
26/12/18;00:00;52.3000000;52.4000000;51.1000000;51.1000000;256800
27/12/18;00:00;51.6000000;52.9000000;51.2000000;52.0000000;17900
28/12/18;00:00;52.1000000;53.6000000;52.1000000;53.6000000;11600
29/12/18;00:00;53.4000000;54.5000000;52.8000000;53.6000000;14400
03/01/19;00:00;54.4000000;56.3000000;53.5000000;55.3000000;18500
04/01/19;00:00;56.1000000;57.8000000;55.2000000;56.0000000;29300
08/01/19;00:00;56.0000000;56.9000000;53.2000000;56.1000000;21200
09/01/19;00:00;56.0000000;60.0000000;55.4000000;59.4000000;185600
10/01/19;00:00;59.2000000;62.0000000;58.7000000;60.7000000;104700
11/01/19;00:00;60.6000000;61.5000000;59.5000000;59.6000000;23200
14/01/19;00:00;60.8000000;60.8000000;56.7000000;60.0000000;33800
15/01/19;00:00;60.6000000;60.7000000;59.9000000;60.0000000;11300
16/01/19;00:00;59.5000000;61.2000000;59.3000000;60.9000000;17300
17/01/19;00:00;60.4000000;62.5000000;59.6000000;61.1000000;19500
18/01/19;00:00;60.5000000;61.0000000;60.0000000;60.5000000;9300
21/01/19;00:00;60.4000000;61.7000000;60.4000000;60.7000000;19500
22/01/19;00:00;61.6000000;61.6000000;57.7000000;60.0000000;22400
23/01/19;00:00;60.6000000;63.1000000;58.1000000;61.0000000;38000
24/01/19;00:00;60.6000000;61.5000000;60.3000000;61.0000000;24000
25/01/19;00:00;61.1000000;62.1000000;61.0000000;61.1000000;10800
28/01/19;00:00;61.1000000;61.9000000;60.0000000;61.1000000;12200
29/01/19;00:00;60.9000000;60.9000000;58.5000000;60.3000000;28900
30/01/19;00:00;59.8000000;60.3000000;59.7000000;59.7000000;3700
31/01/19;00:00;60.0000000;60.3000000;59.0000000;59.0000000;10700
01/02/19;00:00;59.0000000;61.8000000;59.0000000;61.0000000;32200
04/02/19;00:00;61.7000000;61.9000000;60.2000000;60.6000000;12400
05/02/19;00:00;61.3000000;61.3000000;60.1000000;60.1000000;5000
06/02/19;00:00;61.3000000;61.5000000;60.4000000;60.6000000;13000
07/02/19;00:00;61.4000000;61.4000000;60.0000000;60.6000000;4500
08/02/19;00:00;61.0000000;61.9000000;60.0000000;60.5000000;9500
11/02/19;00:00;60.4000000;61.4000000;60.1000000;60.7000000;3200
12/02/19;00:00;60.8000000;60.9000000;60.2000000;60.5000000;7500
13/02/19;00:00;60.4000000;60.8000000;58.6000000;60.5000000;32900
14/02/19;00:00;60.5000000;60.8000000;58.8000000;59.6000000;10300
15/02/19;00:00;59.4000000;60.2000000;59.4000000;59.9000000;12300
18/02/19;00:00;59.4000000;60.1000000;59.2000000;59.7000000;5500
19/02/19;00:00;59.6000000;60.4000000;56.1000000;57.7000000;30100
20/02/19;00:00;58.3000000;60.4000000;58.3000000;59.1000000;24000
21/02/19;00:00;59.9000000;60.0000000;59.0000000;59.0000000;6800
22/02/19;00:00;59.2000000;60.2000000;58.2000000;59.8000000;16800
25/02/19;00:00;59.3000000;60.0000000;59.3000000;59.5000000;2700
26/02/19;00:00;59.4000000;59.9000000;58.6000000;59.3000000;7600
27/02/19;00:00;58.9000000;59.6000000;57.0000000;57.0000000;50100
28/02/19;00:00;57.1000000;59.0000000;56.9000000;57.9000000;43800
01/03/19;00:00;57.7000000;58.6000000;57.0000000;57.9000000;41700
04/03/19;00:00;57.9000000;57.9000000;57.1000000;57.4000000;17000
05/03/19;00:00;57.6000000;57.6000000;56.4000000;56.9000000;16100
06/03/19;00:00;56.6000000;57.3000000;55.0000000;56.1000000;32900
07/03/19;00:00;56.3000000;56.4000000;55.9000000;56.3000000;3300
11/03/19;00:00;55.8000000;56.4000000;55.8000000;56.2000000;15800
12/03/19;00:00;55.8000000;56.1000000;55.1000000;55.6000000;22500
13/03/19;00:00;55.1000000;55.5000000;54.8000000;55.0000000;10900
14/03/19;00:00;54.6000000;56.0000000;53.9000000;53.9000000;48200
15/03/19;00:00;53.6000000;54.7000000;53.0000000;54.2000000;42500
18/03/19;00:00;54.1000000;56.9000000;54.1000000;55.3000000;57900
19/03/19;00:00;55.0000000;56.1000000;54.8000000;55.1000000;25200
20/03/19;00:00;54.7000000;55.6000000;54.7000000;55.0000000;5100
21/03/19;00:00;55.1000000;55.2000000;54.4000000;54.5000000;5200
22/03/19;00:00;55.3000000;56.1000000;54.4000000;54.7000000;19300
25/03/19;00:00;55.4000000;55.6000000;54.5000000;55.0000000;18500
26/03/19;00:00;55.5000000;55.8000000;55.0000000;55.1000000;10100
27/03/19;00:00;55.2000000;55.6000000;55.0000000;55.0000000;3700
28/03/19;00:00;55.2000000;55.3000000;55.0000000;55.1000000;2600
29/03/19;00:00;54.9000000;55.4000000;54.6000000;54.6000000;11800
01/04/19;00:00;54.6000000;55.1000000;54.5000000;55.1000000;7800
02/04/19;00:00;55.0000000;55.4000000;54.9000000;55.4000000;3400
03/04/19;00:00;55.8000000;56.2000000;55.4000000;55.5000000;4000
04/04/19;00:00;55.5000000;55.8000000;54.9000000;55.3000000;7400
05/04/19;00:00;55.4000000;55.5000000;54.5000000;54.7000000;7700
08/04/19;00:00;55.2000000;55.2000000;54.5000000;54.9000000;8200
09/04/19;00:00;54.9000000;55.0000000;51.0000000;52.4000000;149100
10/04/19;00:00;52.4000000;54.0000000;51.8000000;52.3000000;105900
11/04/19;00:00;52.4000000;52.6000000;51.7000000;52.1000000;40300
12/04/19;00:00;52.1000000;52.3000000;51.0000000;51.7000000;39000
15/04/19;00:00;51.6000000;52.3000000;51.3000000;51.4000000;33400
16/04/19;00:00;51.7000000;52.3000000;50.0000000;50.6000000;98100
17/04/19;00:00;50.3000000;57.6000000;50.3000000;55.4000000;356600
18/04/19;00:00;56.0000000;59.6000000;54.4000000;57.3000000;448900
19/04/19;00:00;55.8000000;58.0000000;55.8000000;56.0000000;42000
22/04/19;00:00;56.1000000;56.3000000;54.8000000;55.3000000;22600
23/04/19;00:00;55.3000000;55.4000000;54.6000000;55.2000000;7600
24/04/19;00:00;54.9000000;55.0000000;54.6000000;54.8000000;7700
25/04/19;00:00;54.6000000;55.0000000;54.2000000;54.2000000;12000
26/04/19;00:00;54.0000000;55.0000000;53.3000000;55.0000000;23100
29/04/19;00:00;54.2000000;57.0000000;54.1000000;55.9000000;23800
30/04/19;00:00;56.0000000;58.0000000;55.0000000;55.5000000;37900
02/05/19;00:00;55.5000000;56.2000000;55.1000000;55.1000000;3500
03/05/19;00:00;55.0000000;55.6000000;55.0000000;55.1000000;3000
06/05/19;00:00;55.0000000;55.4000000;54.4000000;55.3000000;7600
07/05/19;00:00;54.9000000;55.3000000;54.8000000;54.8000000;2500
08/05/19;00:00;54.7000000;55.1000000;54.4000000;54.5000000;3700
10/05/19;00:00;54.2000000;55.0000000;54.1000000;54.7000000;3100
13/05/19;00:00;55.0000000;55.0000000;52.8000000;53.3000000;33100
14/05/19;00:00;53.2000000;55.1000000;52.5000000;53.1000000;196100
15/05/19;00:00;54.5000000;54.5000000;53.1000000;53.9000000;11600
16/05/19;00:00;54.1000000;55.1000000;53.5000000;54.5000000;12800
17/05/19;00:00;54.3000000;55.6000000;53.1000000;55.0000000;24200
20/05/19;00:00;55.0000000;58.4000000;54.6000000;57.1000000;96200
21/05/19;00:00;58.0000000;59.0000000;54.0000000;55.9000000;41400
22/05/19;00:00;55.9000000;56.0000000;55.0000000;55.6000000;4800
23/05/19;00:00;55.9000000;56.7000000;55.3000000;56.0000000;6500
24/05/19;00:00;55.4000000;56.5000000;55.4000000;56.0000000;2500
27/05/19;00:00;56.5000000;56.5000000;53.8000000;55.8000000;13100
28/05/19;00:00;55.7000000;55.7000000;54.0000000;54.3000000;29000
29/05/19;00:00;54.3000000;54.7000000;54.0000000;54.7000000;6700
30/05/19;00:00;54.5000000;55.9000000;54.5000000;54.9000000;17300
31/05/19;00:00;55.2000000;55.8000000;54.4000000;54.4000000;15600
03/06/19;00:00;56.0000000;56.0000000;54.4000000;54.9000000;9400
04/06/19;00:00;55.0000000;56.0000000;54.0000000;54.5000000;22100
05/06/19;00:00;54.6000000;55.4000000;54.4000000;54.7000000;10000
06/06/19;00:00;54.5000000;55.4000000;54.4000000;55.2000000;8100
